,uk_house_price_idx,uk_cpi,uk_unemployment,uk_consumer_confidence,uk_real_gdp,uk_gdp_yoy_growth,uk_bond_yield_10y,uk_reer,uk_oil_price,uk_credit,uk_credit_qoq_growth,uk_credit_yoy_growth,uk_industrial_production,uk_ftse_close,uk_ftse_qoq_growth
2007-09-30,108.599141184202,2.0,5.3,102.7848,579605.0,3.376287510589915,4.9928,126.49,80.97,6788.592,4.8428768118683685,15.158629562177506,112.6,6466.7998046875,-2.135324380537351
2007-12-31,109.472584933787,2.3,5.2,101.8328,584504.0,3.88061186950055,4.6937,122.18,93.68,6875.185,1.2755664208425,9.902746279832208,113.5,6456.89990234375,-0.1530881215245583
2008-03-31,106.548030197414,2.5,5.2,100.3455,586690.0,3.1370584254058587,4.445,114.4,102.33,6971.363,1.3989150837395714,11.741888555972778,111.8,5702.10009765625,-11.689817344288079
2008-06-30,102.622321597896,3.3,5.4,98.06248,583541.0,1.6278470342776075,5.2103,112.68,138.4,7036.996,0.9414658223936945,8.67922313693481,111.1,5625.89990234375,-1.3363531682620056
2008-09-30,96.0787104335969,4.5,5.9,95.53709,573961.0,-0.9737666169201464,4.5701,109.72,93.52,6558.239,-6.80342862209955,-3.393236771336383,110.2,4902.5,-12.85838558987481
2008-12-31,91.2964636619317,3.7,6.4,94.03381,561816.0,-3.8815816487141275,3.6238,97.0,35.82,5603.911,-14.551589229974681,-18.490760612259894,103.9,4434.2001953125,-9.552265266445692
2009-03-31,87.6534693067159,2.9,7.1,94.54298,550451.0,-6.176856602294222,3.2497,95.52,46.13,5489.132,-2.048194555552374,-21.261710227971207,100.7,3926.10009765625,-11.458663914032908
2009-06-30,87.4183387719456,2.0,7.8,97.12493,548859.0,-5.943369874610349,3.7221,104.27,68.11,6305.737,14.876760114349597,-10.391635862802817,101.0,4249.2001953125,8.229543048307143
2009-09-30,89.5937695494577,1.4,7.8,100.1758,549540.0,-4.254818707194397,3.6566,101.13,65.82,6298.042,-0.12203173078737528,-3.9674827343132657,100.0,5133.89990234375,20.820381868738625
2009-12-31,93.0445668300137,1.6,7.8,101.6582,551372.0,-1.8589716206017681,3.8871,100.37,77.91,6382.561,1.3419885100797835,13.894760284379949,101.2,5412.89990234375,5.43446512996153
2010-03-31,94.6744766196967,2.4,8.0,101.6904,556002.0,1.0084458017153297,4.0915,96.43,80.37,6163.248,-3.4361285383719853,12.280921646628284,104.6,5679.60009765625,4.927122247300764
2010-06-30,94.3997304173701,2.5,7.9,101.1912,562353.0,2.4585549294080966,3.6007,101.44,74.94,6153.467,-0.15869878998865383,-2.414785139310449,103.3,4916.89990234375,-13.428765796860187
2010-09-30,93.7979978991031,2.3,7.8,100.8547,565659.0,2.933180478218156,3.1271,101.48,80.77,6667.066,8.346497998607937,5.859344856703075,104.8,5548.60009765625,12.847530107566074
2010-12-31,92.0923437203362,2.7,7.9,100.801,565945.0,2.6430431723047265,3.6098,100.94,93.23,6459.224,-3.117443265148412,1.2011322727663698,105.4,5899.89990234375,6.331323189715743
