,us_credit_qoq_growth_L2,us_house_price_yoy_L6,us_indprod_yoy_L5,us_unemployment_L1,us_gdp_yoy_growth_L4,us_consumer_confidence_L5,us_cpi_L0,us_log_vix_L5,us_sp500_qoq_growth_L7,us_bond_yield_10y_d1_L6,us_oil_yoy_L2,us_reer_diff_L1,delinquency_rate
2010-03-31,-0.8491268263655094,-12.566800494505948,-11.276192783181926,9.933333,-3.234227293078318,62.04609,2.360525,3.6888794541139363,-3.2282416835385908,-0.4099999999999997,-30.029791459781542,-1.8700000000000045,7.4
2010-06-30,-0.8485263098161888,-11.269170159578213,-14.656035046526473,9.833333,-3.9788374053187248,62.69165333333333,1.767765,3.7873664008285903,-8.878126144409181,-1.27,78.00448430493275,0.5700000000000074,7.21
2010-09-30,-0.5818954370483964,-8.380474854585696,-15.282480369076357,9.633333,-3.1328157006863644,73.37936,1.175609,3.2714682749873716,-22.558214329708537,0.3999999999999999,68.11039484286864,2.6799999999999926,6.89
2010-12-31,-0.530707212013326,-6.516772499244383,-6.805879122929537,9.466666,0.1055725234829774,73.59454666666666,1.270248,3.242982900211434,-11.666759466682809,0.9000000000000004,8.264107705528524,-3.4099999999999966,6.38
2011-03-31,-0.09348176649413,-4.178077134290659,-2.704223119324234,9.5,1.7452658449103264,75.49538333333334,2.141127,3.0763901765714454,15.221779606988894,-0.3200000000000003,13.46863468634687,-2.25,6.2
2011-06-30,-0.2877855207659485,-3.6370052166046607,4.200672107537207,9.033334,2.91359502911801,79.47636999999999,3.430395,2.8673305587494666,14.984983208560209,0.18999999999999995,15.102657765461647,-1.8200000000000074,5.96
2011-09-30,-0.0550123840020178,-4.946131245867747,8.551328146848402,9.066667,3.344209253779229,79.54810333333333,3.756174,3.5421180727185324,5.488706809634025,0.14000000000000012,27.249850209706405,-0.9200000000000017,5.7
2011-12-31,0.0903170683006715,-3.865730253907129,6.346682104150392,9.0,2.7759609093124693,73.48695333333335,3.293777,3.1654750481410856,4.872215883284525,-0.5299999999999998,26.074877629316042,2.0200000000000102,5.46
2012-03-31,0.2964385945785075,-4.530753284418609,5.996200467756596,8.633333,2.037797199613345,76.67892,2.815192,2.8763855159214247,-11.86219666009427,-0.5500000000000003,-1.275797373358345,1.1199999999999903,5.27
2012-06-30,0.3504796219523376,-5.313382656789811,4.193025357503588,8.266666,1.7437088645501977,78.61561999999999,1.889765,2.8758219768814333,10.719794551502826,0.6400000000000001,8.152768658349752,-0.8799999999999955,5.13
2012-09-30,0.1148628134512108,-7.000497262670747,2.3688810428642126,8.2,0.9426534645672336,77.32449000000001,1.697784,2.804571768092832,10.20330077625684,0.1200000000000001,-2.975798097749316,2.969999999999999,5.04
2012-12-31,0.3606860100823894,-8.068865016532566,2.4123837996766095,8.033334,1.543075871606514,64.19797333333334,1.889365,3.7602694502006093,5.422055644858914,-0.41000000000000014,-10.766002098635873,-2.3900000000000006,4.65
2013-03-31,0.766274030059555,-6.511051502825749,2.859134467066693,7.8,2.6380693108862374,69.72115000000001,1.681829,3.152736022363656,-0.3914484947748375,-1.02,16.78702647915875,-1.2999999999999972,4.41
2013-06-30,0.6970048700830178,-5.112963151817873,2.8286925428470555,7.733333,2.403335839137921,81.23375,1.39285,2.740840023925201,-14.327899246146693,0.0,-7.082869574015982,1.769999999999996,4.14
2013-09-30,0.1069277456185346,-2.3409221066250208,3.7105509068513065,7.533333,2.5737123144880414,82.09450333333332,1.553359,2.837908188360424,11.152350739750894,0.18999999999999995,-5.619722410948269,0.7900000000000063,3.78
2013-12-31,0.8366078783609732,0.7740451724779662,2.2951570495009843,7.233333,1.551852007332477,80.65991333333334,1.233471,2.7555697170701863,11.996660149972938,-0.5499999999999998,13.311382878645329,-0.20000000000000284,3.52
2014-03-31,0.9607123077462588,1.856850223212958,2.0268355938483085,6.933333,1.700868485709428,85.42993,1.405456,2.8914822521801917,-3.287960516497135,0.09999999999999987,11.043610327619868,-0.7999999999999972,3.31
2014-06-30,1.194448003856441,2.9829174707906025,2.534732272069462,6.666667,1.5199382041070075,82.48902,2.050846,2.5416019934645457,5.763640673315229,0.0,6.904061853424803,1.269999999999996,3.08
2014-09-30,0.7325226481103453,4.973986773826922,1.7645800035426706,6.2,2.237022493295515,87.86873333333334,1.783154,2.8249439525737094,-1.0050949972839285,0.24,4.452900041135344,0.04999999999999716,2.9
2014-12-31,0.9823605033940864,5.618558229088966,2.854766330187619,6.066667,3.0091449601746367,87.76114333333334,1.248028,2.8094026953624978,10.026714945065397,0.33999999999999986,10.076795350767952,1.25,2.7
