,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_mom_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_sp500_close,us_sp500_log_ret,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_delinquency_rate
2011-01-31,16945.44726963253,2.481387539110669,3.39,0.26,3.13,80.91,-0.009838967576867759,90.99,-0.0042770257665259714,24120.508775433453,-0.05071624900134797,-1.3240301055090775,93.4814,19.53,0.09556622896716288,1286.1199951171875,0.022392969812412192,89.89886635930165,1.4837462775388224,9.35550527704874,100.2709,4.0119711188986855
2011-02-28,16924.79676744923,2.235367047911363,3.58,0.25,3.33,80.24,-0.008315282166068203,97.1,0.06499176492867971,24117.66438498026,-0.011792414827038744,-1.1638511053488898,93.1102,18.35,-0.06232217038800822,1327.219970703125,0.03145657676282469,88.9799193368506,1.7549151763978657,9.18345830018007,100.3661,3.9109300314357904
2011-03-31,16920.632,2.037797199613345,3.41,0.3,3.1100000000000003,79.88,-0.004496635106065639,106.19,0.08948856711847503,24119.472,0.007494983721834103,-0.964195432468884,94.0788,17.74,-0.03380759761914601,1325.8299560546875,-0.0010478617545838823,88.0098902595533,2.141127,9.033334,100.3613,3.82
2011-04-30,16952.17490629837,1.948628142554698,3.46,0.22,3.2399999999999998,78.84,-0.01310502626309489,113.39,0.06560326156799423,24123.10174041975,0.01504900447135693,-0.7476495932827842,93.7749,14.75,-0.1845788940956045,1363.6099853515625,0.028096938770245248,87.26812598221056,2.5873274894454923,8.990770551916892,100.2535,3.7548644791273578
2011-05-31,17001.081204878115,1.882996374690138,3.17,0.18,2.9899999999999998,78.99,0.0019007798918081191,102.7,-0.09902108704923586,24129.82377935096,0.027865566391693797,-0.5259936940768095,93.888,15.45,0.04636592055792556,1345.199951171875,-0.013592919455284002,86.72729470580944,3.053805471598345,9.020883399852634,100.0542,3.7012140723637517
2011-06-30,17035.114,1.7437088645501975,3.0,0.19,2.81,78.96,-0.00037986705110162953,95.3,-0.07478230627435613,24141.256,0.04737796990801346,-0.34587758247712763,94.172,16.52,0.06696276474907749,1320.6400146484375,-0.018426185911932576,86.4094299863782,3.430395,9.066667,99.78638,3.65
2011-07-31,17036.615712796647,1.4597104144807638,3.0,0.2,2.8,78.44,-0.006607393797080536,95.68,0.003979479542165238,24159.734908112125,0.07654493250941474,-0.21479539249769086,94.636,25.25,0.42425438762853684,1292.280029296875,-0.02170835585666382,86.26894579777165,3.6759843972952733,9.083546329924156,99.50073,3.5878657925674315
2011-08-31,17025.12350028951,1.1416600649163389,2.3,0.1,2.1999999999999997,78.86,0.0053401271213355025,88.81,-0.07451003393190887,24184.331972848973,0.10181015988131037,-0.10102475543690703,95.2749,31.62,0.22496367605995712,1218.8900146484375,-0.05846750227195686,86.25123716320648,3.7775174263261024,9.06034869987759,99.26284,3.518667675184719
2011-09-30,17031.313,0.9426534645672335,1.98,0.13,1.85,80.98,0.026528082154534064,78.93,-0.11793787255010163,24212.82,0.11779538580187765,0.04305771506369904,95.1961,42.96,0.3064796184192833,1131.4200439453125,-0.0744671007197857,86.2760501885867,3.756174,9.0,99.13931,3.45
2011-10-31,17077.21542986896,0.9603963327768472,2.15,0.12,2.03,81.47,0.006032643718535216,93.19,0.16607903607725302,24245.169561886472,0.13360509798723275,0.25936902893655134,95.8568,29.96,-0.3604062915515905,1253.300048828125,0.10230659176938868,86.2788175266229,3.6347018899994143,8.900589179085669,99.15995,3.3813200030896904
2011-11-30,17146.82504891873,1.1732238748178858,2.01,0.12,1.8899999999999997,81.79,0.003920132424332427,100.36,0.07412330170065748,24274.653714599004,0.12160835847021545,0.48967947678186796,95.8485,27.8,-0.07482713795242732,1246.9599609375,-0.005071553722512535,86.23780073542017,3.4665288984520335,8.777424408009557,99.30494,3.316611854087724
2011-12-31,17222.583,1.543075871606514,1.98,0.12,1.8599999999999999,82.1,0.0037830297114997504,98.83,-0.015362519110128975,24297.681,0.0948614372494605,0.6834406094158973,96.3571,23.4,-0.1722999983329358,1257.5999755859375,0.008496565407114517,86.1383699779629,3.293777,8.633333,99.52255,3.25
2012-01-31,17284.210592161297,1.9991406372368514,1.97,0.13,1.8399999999999999,81.82,-0.003416303957130027,98.46,-0.003750828058038018,24309.787198399466,0.049824501356598994,0.7847198611282691,96.9318,19.44,-0.18540322333136253,1312.4100341796875,0.042660044467807356,85.99074680255147,3.156714425419387,8.48526143312775,99.73978,3.182817262380586
2012-02-29,17328.89537933056,2.387612787519644,1.97,0.18,1.79,80.5,-0.016264528076734747,107.08,0.0839258443220972,24316.26026439183,0.0266274070584549,0.8234457377027216,97.2435,18.43,-0.05335302735056119,1365.6800537109375,0.03978734467204456,85.89467650670571,3.023081864140076,8.361553467812424,99.89192,3.1213777361804578
2012-03-31,17367.01,2.6380693108862374,2.17,0.19,1.98,81.23,0.009027452638344955,103.03,-0.038556010695175086,24325.59,0.03836829967571731,0.8545709458316342,96.74,15.5,-0.1731397477565309,1408.469970703125,0.03085147563299614,85.949647282451,2.815192,8.266666,99.95192,3.06
2012-04-30,17397.83372121314,2.628918220689158,2.05,0.2,1.8499999999999999,81.56,0.0040543086433919295,104.89,0.017891974016535882,24343.333462520382,0.07294155052510742,0.9129494393816717,97.4359,17.15,0.10115814968674798,1397.9100341796875,-0.007525699544988767,86.22860122024463,2.516002145804504,8.224495877555242,99.92394,3.007078471264574
2012-05-31,17424.218013260986,2.488881755717154,1.8,0.18,1.62,83.02,0.017742596918638123,86.52,-0.1925365808886546,24372.880375285742,0.12137578779360947,1.0072870741093976,97.6609,24.06,0.3385525369345839,1310.3299560546875,-0.06469930815862472,86.6573822433087,2.1709263952392908,8.211451915765673,99.83161,2.959439946045399
2012-06-30,17444.525,2.403335839137921,1.62,0.21,1.4100000000000001,84.19,0.013994606724680007,85.04,-0.01725386705116537,24413.329,0.165957507243486,1.1270043281923714,97.6663,17.08,-0.342642522186109,1362.1600341796875,0.03879271987369995,87.0782780077535,1.889765,8.2,99.71552,2.92
2012-07-31,17459.9553575537,2.4848811048726605,1.53,0.16,1.37,83.64,-0.006554274789139727,88.08,0.035123758380731944,24467.658712657587,0.22254118910856047,1.274533043167092,97.8713,18.93,0.10283977686080784,1379.3199462890625,0.01251888494028272,87.41461597171097,1.7239447865946156,8.165620136173455,99.62602,2.8852649331648172
2012-08-31,17468.711398425614,2.6054900460990016,1.68,0.16,1.52,83.06,-0.006958636357825367,96.47,0.09098658676803777,24531.972839140264,0.26285361929381246,1.4374631752556821,97.4525,17.47,-0.08026284107526635,1406.5799560546875,0.01957060970187109,87.66779433045869,1.6717879771724056,8.107534226756767,99.58989,2.852994734360006
