date,us_credit_qoq_growth,us_sp500_log_ret,us_vix_log_ret,us_bond_yield_10y,us_oil_yoy,us_reer_diff,us_gdp_yoy_growth,us_cpi,us_unemployment,us_consumer_confidence,us_house_price_yoy,us_indprod_yoy
1969-06-30,,-0.03815343825446295,,6.57,,,,5.475504322766556,3.5,100.2361,,4.654179449916573
1969-09-30,,-0.048114885108199626,,7.16,,,,5.698005698005693,3.7,99.585,,4.895649798904289
1969-12-31,,-0.011448501608843193,,7.65,,,,5.89887640449438,3.5,98.84968,,1.8102058474672056
1970-03-31,,-0.02675045714365355,,7.07,,,,6.094182825484751,4.4,97.94292,,-2.2667525773195862
1970-06-30,,-0.2090735880701428,,7.84,,,,6.010928961748618,4.9,97.54437,,-3.1647783086552472
1970-09-30,,0.1477654345533995,,7.39,,,,5.660377358490565,5.4,97.69588,,-4.471367269366944
1970-12-31,,0.08903579946550517,,6.39,,,,5.570291777188308,6.1,98.67637,,-3.676159084098818
1971-03-31,,0.08484766588230612,,5.7,,,,4.438642297650142,6.0,99.93694,1.9708299053137868,-1.2062077240542757
1971-06-30,,-0.016180451036877357,,6.52,,,,4.381443298969079,5.9,100.299,3.966992780696277,0.9737974915486447
1971-09-30,,-0.0036540907753764666,,6.14,,,,4.081632653061207,6.0,100.4154,3.4042320745463206,2.36090438537655
1971-12-31,,0.037423916565014495,,5.93,,,,3.266331658291466,6.0,101.259,5.306784877604964,5.135631629054527
1972-03-31,,0.048841478859269774,,6.07,,,,3.499999999999992,5.8,102.2827,2.7520677665149984,8.977367062522879
1972-06-30,,-0.0005598354127635484,,6.11,,,,2.9629629629629672,5.7,102.7795,3.3602568688602563,8.748034105314083
1972-09-30,,0.0313315501526338,,6.55,,,,3.1862745098039325,5.5,103.3539,4.473975296157051,10.20111941857067
1972-12-31,,0.06564035447424033,,6.36,,,,3.406326034063256,5.2,103.8099,3.9755905754183196,11.563253280957063
1973-03-31,,-0.056904372472336845,,6.71,,,,4.830917874396135,4.9,103.4266,8.13930426403775,9.499268853655618
1973-06-30,,-0.06731611708117116,,6.9,,,,5.995203836930463,4.9,102.287,6.174161017382818,8.83633980415821
1973-09-30,,0.03921700646917272,,7.09,,,,7.3634204275534465,4.8,101.3225,5.832202006997611,7.6971184368870516
1973-12-31,,-0.10573970794542972,,6.74,,,,8.94117647058823,4.9,100.6818,4.473112712662042,4.998776770995539
1974-03-31,,-0.0372830689588281,,7.21,,,,10.138248847926269,5.1,99.89204,0.8104937014143498,1.7295797962173731
1974-06-30,,-0.08873473314082078,,7.54,,,,10.859728506787311,5.4,98.59248,-0.6259353742684937,1.3783372404368555
